dist_code,total_convict_cases,district_name
7,15,KOPPAL
27,42,CHAMRAJNAGAR
28,54,RAMANAGARAM
30,90,YADGIR.
24,300,DAKSHINA KANNADA
26,324,MYSURU
4,348,KALABURAGI
19,369,KOLAR
29,390,CHIKKABALLAPUR
6,489,RAICHUR
3,510,VIJAYAPURA
23,558,HASSAN
22,591,MANDYA
8,618,GADAG
5,756,BIDAR
16,1110,UDUPI
25,1191,KODAGU
13,1386,CHITRADURGA
2,1725,BAGALKOT
9,1761,DHARWAD
11,1818,HAVERI
14,2046,DAVANGERE
18,2289,TUMAKURU
17,2433,CHIKKAMAGALURU
10,5361,UTTARA KANNADA
12,5604,BALLARI
1,7782,BELAGAVI
15,11031,SHIVAMOGGA
21,12921,BENGALURU RURAL
20,74445,BENGALURU
