State,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21
India,1,8,10832,449254,3089437,10963515,32864193,82700486,151659348,228590768,265831624,308009515,326971717,305986209,357476208,447462176,760878167,886887836,962850335,999736390,1000593833,679393680
Kerala,1,8,1918,11753,21530,81724,364627,1451150,3691404,10000959,15761027,21229239,26177030,28060885,33920953,37750892,65519871,82479908,97382689,115094762,132710063,95870686
Andaman and Nicobar Islands,NA,NA,45,510,1023,1429,6799,66450,106513,126625,136389,150051,154236,140235,156117,161221,204145,218638,232698,234090,227816,152670
Andhra Pradesh,NA,NA,180,18634,73676,225800,1646484,8993859,17435463,23891277,25558844,27168365,27454434,24888850,27696218,28989600,44235180,54460512,59921921,61793002,61014709,41140249
Assam,NA,NA,1,948,9235,135602,684704,2350394,4407425,6119594,6306062,6661106,6719445,6084958,6754859,6822333,10290215,13991468,16800254,17976462,17894998,12099627
Bihar,NA,NA,90,3900,49123,201627,761694,3095871,4848233,6249087,6809576,7587649,7993425,7328950,8167415,9889037,19578665,21513741,22433452,22487658,21775539,14519949
Chandigarh,NA,NA,97,815,6074,10976,20957,71522,256360,416083,477723,581544,634009,596183,738164,1006392,1671052,1833853,1917438,1952894,1955029,1305514
Chhattisgarh,NA,NA,52,817,4859,51881,162944,537631,2174925,4777284,6387373,8086754,9073448,8660526,10016122,15548635,27688963,29609682,30969514,31113636,30148661,20110804
Delhi,NA,NA,683,49581,310866,1460911,3608507,4763289,6836242,10150680,14572061,18844158,19576349,17837843,20052984,25278113,42096245,42939618,44495857,44550062,43150446,28783934
Goa,NA,NA,27,205,1012,18779,102713,356888,776198,1225565,1379455,1539259,1621348,1519022,1744004,2046221,4066503,4879145,5247773,5350720,5256538,3542474
Gujarat,NA,NA,498,43906,332401,736550,1431806,2448765,3518508,4863556,5698802,7132412,7897074,7434174,8790621,12110407,22599365,24595276,25555304,25580725,24770163,16523093
Haryana,NA,NA,595,6139,29691,245702,754651,1498908,2967041,4586100,6040289,7837873,8238975,7536884,8618144,10750354,20722073,22962739,23851878,23876999,23120694,15419991
Himachal Pradesh,NA,NA,33,922,3917,17884,47873,129755,315811,573688,913866,1545079,1758274,1628445,1871820,2295744,4780814,5953608,6328543,6514696,6492289,4411185
Jammu and Kashmir,NA,NA,266,9208,39104,154356,403810,893556,1708366,2677256,3085122,3614397,3816768,3511773,3972372,4407049,7484034,9222035,9896342,10028252,9823209,6610006
Jharkhand,NA,NA,1,1123,8238,51271,169679,757036,1940389,2934001,3180946,3478088,3637535,3341511,3756147,4892609,9459529,10299055,10742577,10774863,10442534,6967120
Karnataka,NA,NA,732,9571,43788,237396,1814581,7107882,14351127,22860142,25801841,28029498,28853643,26472446,29965410,35084777,66929997,82929253,89235405,90817997,88930190,59618979
Ladakh,NA,NA,203,509,1463,15780,35744,61836,105260,166949,222696,283454,298894,273619,306742,354166,508712,587439,627103,634048,620174,417030
Madhya Pradesh,NA,NA,282,33076,155710,328532,658625,1439654,2859492,4780371,5587414,7010111,7760326,7225609,8473104,12003464,22032633,23627645,24522971,24553013,23771029,15852577
Maharashtra,NA,NA,1972,117423,1071275,3461480,9021856,18598274,33154585,48444892,52546687,58406464,61527482,58121612,74559135,110884048,164703698,177736506,192009893,198181562,195346961,131548417
Manipur,NA,NA,8,59,563,17515,56258,138755,251193,459313,658725,840393,891637,817165,909136,896765,1239681,1832647,2584130,3342311,3529762,2439438
Mizoram,NA,NA,7,30,31,3011,8397,23236,43809,70953,100800,125712,133505,123074,137721,147402,275051,481553,845090,1514066,2264899,2113596
Odisha,NA,NA,36,1963,26110,128676,524569,1958267,4860727,8099956,9230830,10065254,10317888,9413038,10496682,11169095,18954915,25638905,29404346,30831594,30539136,20636015
Puducherry,NA,NA,15,196,759,8649,57481,253092,631134,999636,1087394,1165346,1197184,1104480,1248985,1428854,2587729,3381804,3700610,3791773,3753016,2540391
Punjab,NA,NA,362,6116,56446,107132,300974,1029131,2565718,3903892,4269782,4984346,5275839,4952426,6366997,8878853,15119988,17617894,18534719,18597532,18034788,12037707
Rajasthan,NA,NA,607,35741,164663,398655,875817,1913122,3229574,5222561,6887606,9080591,9742273,8930013,10065901,12638392,25625788,28474829,29549911,29571751,28626624,19087285
Tamil Nadu,NA,NA,440,37275,347836,1507947,5018740,10491858,15495166,20864924,22719923,24856007,25718303,23667523,26790128,29679704,50084186,70586171,78359929,80278068,79193492,53572032
Telangana,NA,NA,650,20101,48967,208247,1252052,2860162,4834626,6757114,7704031,8646516,9024439,8306032,9370293,10569278,16201824,18163783,19688080,20226841,19872429,13358474
Uttar Pradesh,NA,NA,802,28540,145749,449937,1458372,4830806,9701861,13865734,15390005,17612620,18447834,16859628,18827699,25297735,48637705,51059570,52934881,52977295,51288110,34199059
Uttarakhand,NA,NA,66,1139,6451,58643,138478,390986,1049181,1755565,2055403,2595583,2923428,2707317,3045291,3774318,8526589,10105502,10581748,10620558,10298932,6873410
West Bengal,NA,NA,164,8798,85082,352836,1230381,3630154,6327185,9760454,12972035,16279623,17465608,16033759,17967596,19948472,34924620,43809005,46992809,47707386,46774235,31527862
Arunachal Pradesh,NA,NA,NA,29,45,3107,21242,85434,202699,397964,472751,513097,520524,471320,522072,515626,692416,957948,1305793,1588174,1616923,1097720
Dadra and Nagar Haveli and Daman and Diu,NA,NA,NA,0,36,2242,19927,57006,83343,98288,98724,103825,104531,94715,107129,151459,291327,314210,328774,330445,320149,213526
Meghalaya,NA,NA,NA,180,466,1264,11943,46017,121449,249519,322181,399124,423134,389440,434019,448384,770889,1291213,1764721,2218736,2364778,1648246
Nagaland,NA,NA,NA,0,138,6306,29855,99500,152565,236893,303037,362263,372751,340792,378965,381289,559245,713318,821313,903252,922251,629250
Tripura,NA,NA,NA,47,4767,30939,85173,234731,588157,895251,957550,1024777,1032821,934218,1036794,1020565,1297237,1788969,2247967,2515212,2510111,1684942
Sikkim,NA,NA,NA,NA,9,1520,9083,35509,67619,108642,134674,168937,186536,171324,191924,201721,355921,554358,722627,887107,922525,633142
State Unassigned,NA,NA,NA,NA,38334,239209,67397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,787,6420,18545,39202,161362,276036,311275,318848,310631,207280
