State/UTs,2016-2017,2017-2018,2018-2019,2019-2020
ANDAMAN AND NICOBAR ISLANDS,0,0,501,159
ANDHRA PRADESH,44715,215300,235425,82106
ARUNACHAL PRADESH,8,3314,1942,522
ASSAM,0,43,1120,386
BIHAR,45908,43119,36254,12255
CHANDIGARH,15318,13625,12759,13352
CHHATTISGARH,1103,1830,2771,1607
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,0,48,75,127
DELHI,98949,140715,172519,326515
GOA,0,0,962,1409
GUJARAT,111584,129265,172352,208224
HARYANA,0,0,310,691
HIMACHAL PRADESH,0,0,2000,825
JAMMU AND KASHMIR + LADAKH,0,266,820,477
JHARKHAND,62923,77993,143423,116550
KARNATAKA,0,0,33,2854
KERALA,382,17794,25869,10660
MADHYA PRADESH,18503,26279,38982,49479
MAHARASHTRA,43250,79645,141970,5544
MANIPUR,0,199,145,57
MEGHALAYA,0,71,61,15
MIZORAM,812,1320,1539,1524
NAGALAND,0,124,116,236
ORISSA,0,28197,23321,18294
PUNJAB,123545,108253,126607,193908
RAJASTHAN,0,1323,4510,3450
SIKKIM,22,78,19,69
TAMIL NADU,0,0,68831,111363
TELANGANA,0,170610,281917,111522
UTTAR PRADESH,12551,188142,204632,100987
UTTARAKHAND,547,792,852,515
